Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
https://www.demoblaze.com/index.html#,100,120693,135290,203716,218664,235727,3931,253350,73.000%,.32784,195.05,2.13
https://www.demoblaze.com/config.json,400,8498,1523,26011,29602,34529,48,39020,11.750%,.51787,0.29,0.20
https://api.demoblaze.com/entries,200,15065,10799,31287,34610,42461,234,46695,14.000%,.25897,0.74,0.08
https://hls.demoblaze.com/index.m3u8,400,11672,7296,26202,31446,37841,46,39713,20.000%,.51929,0.53,0.16
https://hls.demoblaze.com/about_demo_hls_600k.m3u8,400,4894,1197,21035,23994,35144,42,42261,6.750%,.52212,0.97,0.20
https://hls.demoblaze.com/about_demo_hls_600k00000.ts,400,27464,825,110040,129815,148261,35,164161,2.750%,.52273,69.43,0.21
Test,100,309364,331698,364925,376554,398535,48517,403423,83.000%,.22756,258.59,1.83
https://api.demoblaze.com/bycat,100,19972,20535,29009,32056,37483,6211,39330,15.000%,.24278,0.59,0.08
Choose a category (laptop),100,19972,20535,29009,32056,37483,6211,39330,15.000%,.24278,0.59,0.08
https://www.demoblaze.com/prod.html?idp_=11,100,46482,43597,76765,83819,100341,21023,105303,92.000%,.22405,48.51,0.96
https://api.demoblaze.com/view,200,6553,1481,21043,21058,32342,172,40805,16.500%,.36145,0.31,0.12
Choose a laptop,100,82202,80167,121686,137263,175415,25403,192974,96.000%,.19086,42.12,1.16
https://api.demoblaze.com/addtocart,100,3658,634,15429,21035,23846,191,27318,5.000%,.24790,0.08,0.12
Add to a cart,100,3658,634,15429,21035,23846,191,27318,5.000%,.24790,0.08,0.12
https://www.demoblaze.com/cart.html,100,28275,22970,43511,51055,93397,4394,94819,90.000%,.23304,23.90,1.35
https://api.demoblaze.com/viewcart,100,6246,1417,21041,21047,21059,176,21060,18.000%,.31175,0.22,0.12
Go to cart,100,50061,44241,93267,107229,128198,5339,168734,91.000%,.21132,22.42,1.70
https://api.demoblaze.com/deletecart,100,450,245,705,1720,3240,182,4849,0.000%,.35147,0.07,0.16
https://www.demoblaze.com/index.html,100,23657,22702,31563,38116,51966,1712,52523,53.000%,.28423,27.54,2.57
Purchase the product,100,37531,37984,52008,66960,78692,4767,120696,54.000%,.27223,27.51,3.12
TOTAL,3400,29575,8754,76326,133043,350544,35,403423,26.941%,4.37519,403.28,8.87
